date,price,open,high,low,change %
12/30/2025,4370.1,4346.4,4403.6,4338.0,1.04%
12/29/2025,4325.1,4371.5,4379.0,4325.1,-4.50%
12/26/2025,4529.1,4512.0,4556.3,4502.0,1.08%
12/24/2025,4480.6,4500.7,4503.4,4468.4,-0.05%
12/23/2025,4482.8,4503.3,4503.8,4450.4,0.86%
12/22/2025,4444.6,4371.1,4447.6,4371.1,1.91%
12/19/2025,4361.4,4350.1,4361.4,4350.1,0.50%
12/18/2025,4339.5,4331.0,4348.1,4328.2,-0.18%
12/17/2025,4347.5,4308.5,4351.4,4308.5,1.00%
12/16/2025,4304.5,4270.5,4321.4,4270.5,-0.05%
12/15/2025,4306.7,4308.3,4349.2,4292.9,0.15%
12/12/2025,4300.1,4276.4,4355.0,4260.0,0.34%
12/11/2025,4285.5,4224.0,4286.9,4214.3,2.12%
12/10/2025,4196.4,4209.0,4234.5,4183.6,-0.24%
12/09/2025,4206.7,4190.7,4219.7,4177.7,0.47%
12/08/2025,4187.2,4205.5,4215.8,4175.5,-0.61%
12/05/2025,4212.9,4204.1,4255.7,4194.5,0.03%
12/04/2025,4211.8,4211.0,4211.8,4175.0,0.30%
12/03/2025,4199.3,4215.7,4234.1,4195.7,0.30%
12/02/2025,4186.6,4230.5,4230.5,4167.0,-1.24%
12/01/2025,4239.3,4218.5,4262.1,4214.9,0.50%
11/28/2025,4218.3,4163.4,4223.9,4140.0,1.27%
11/26/2025,4165.2,4128.6,4171.0,4127.5,0.63%
11/25/2025,4139.2,4139.2,4139.2,4139.2,1.16%
11/24/2025,4091.9,4060.5,4091.9,4060.5,0.37%
11/21/2025,4076.7,4031.8,4085.2,4031.8,0.50%
11/20/2025,4056.5,4045.0,4090.4,4040.2,-0.52%
11/19/2025,4077.7,4086.1,4122.7,4072.0,0.40%
11/18/2025,4061.3,4037.4,4063.4,4035.6,-0.17%
11/17/2025,4068.3,4070.0,4099.5,4019.4,-0.47%
11/14/2025,4087.6,4197.7,4197.9,4047.0,-2.37%
11/13/2025,4186.9,4228.7,4228.7,4163.7,-0.42%
11/12/2025,4204.4,4115.6,4204.4,4102.9,2.38%
11/11/2025,4106.8,4140.1,4140.1,4106.8,-0.12%
11/10/2025,4111.8,4060.0,4111.8,4060.0,2.81%
11/07/2025,3999.4,3980.8,3999.4,3980.8,0.49%
11/06/2025,3979.9,4004.0,4007.5,3979.9,-0.01%
11/05/2025,3980.3,3929.9,3983.5,3929.9,0.83%
11/04/2025,3947.7,3994.2,3995.4,3927.4,-1.31%
11/03/2025,4000.3,3976.2,4020.0,3959.0,0.45%
10/31/2025,3982.2,4034.5,4034.5,3976.6,-0.48%
10/30/2025,4001.3,3960.0,4027.2,3913.7,0.44%
10/29/2025,3983.7,3983.7,3983.7,3983.7,0.44%
10/28/2025,3966.2,3929.7,3966.2,3923.6,-0.89%
10/27/2025,4001.9,4060.0,4078.6,3971.3,-2.83%
10/24/2025,4118.4,4117.5,4120.6,4074.9,-0.17%
10/23/2025,4125.5,4078.4,4136.8,4070.7,2.01%
10/22/2025,4044.4,4109.7,4148.5,4006.0,-1.06%
10/21/2025,4087.7,4332.7,4332.7,4087.7,-5.74%
10/20/2025,4336.4,4244.1,4356.6,4214.6,3.50%
10/17/2025,4189.9,4354.7,4358.0,4182.2,-2.11%
10/16/2025,4280.2,4198.8,4307.0,4196.6,2.47%
10/15/2025,4176.9,4145.0,4210.6,4145.0,0.92%
10/14/2025,4138.7,4131.7,4160.1,4085.8,0.73%
10/13/2025,4108.6,4016.0,4111.0,4016.0,3.34%
10/10/2025,3975.9,3957.0,4012.0,3945.5,0.75%
10/09/2025,3946.3,4011.2,4046.2,3940.0,-2.40%
10/08/2025,4043.3,3987.2,4049.2,3987.2,1.68%
10/07/2025,3976.6,3959.4,3981.5,3940.0,0.71%
10/06/2025,3948.5,3931.3,3960.0,3926.8,1.74%
10/03/2025,3880.8,3855.2,3886.8,3853.7,1.07%
10/02/2025,3839.7,3856.2,3888.6,3823.7,-0.72%
10/01/2025,3867.5,3863.5,3891.9,3853.3,0.70%
09/30/2025,3840.8,3827.5,3865.5,3793.4,0.52%
09/29/2025,3820.9,3754.8,3827.6,3754.8,1.21%
09/26/2025,3775.3,3775.3,3775.3,3775.3,1.03%
09/25/2025,3736.9,3742.8,3756.0,3724.7,0.13%
09/24/2025,3732.1,3769.8,3772.5,3732.1,-1.28%
09/23/2025,3780.6,3747.0,3786.0,3740.0,1.07%
09/22/2025,3740.7,3688.2,3748.2,3688.0,1.88%
09/19/2025,3671.5,3659.0,3685.9,3658.2,0.76%
09/18/2025,3643.7,3654.6,3667.4,3637.0,-1.03%
09/17/2025,3681.8,3669.0,3685.2,3661.6,-0.19%
09/16/2025,3688.9,3681.4,3698.6,3681.4,0.18%
