date,avg_price,open,high,low,monthly_change_pct
2021-01-01,1866.2523809523811,1897.69,1959.6,1810.46,-2.5700000000000003
2021-02-01,1808.087,1863.05,1871.84,1717.26,-6.18
2021-03-01,1721.4065217391303,1733.4,1760.02,1676.7,-1.4400000000000004
2021-04-01,1759.0172727272727,1708.09,1798.29,1705.42,3.5900000000000003
2021-05-01,1852.4895238095237,1768.49,1913.15,1765.91,7.5600000000000005
2021-06-01,1831.8922727272727,1907.53,1916.84,1750.11,-7.32
2021-07-01,1805.6463636363637,1770.06,1833.99,1765.47,2.4499999999999997
2021-08-01,1786.16,1814.34,1832.1,1684.77,0.08000000000000033
2021-09-01,1777.2777272727274,1813.57,1834.55,1721.07,-3.11
2021-10-01,1776.2995238095239,1756.91,1814.22,1745.45,1.53
2021-11-01,1817.9027272727274,1783.24,1877.4,1758.45,-0.4300000000000003
2021-12-01,1792.5017391304348,1774.15,1830.58,1753.84,3.0500000000000003
2022-01-01,1815.9114285714286,1830.14,1853.98,1779.88,-1.7100000000000004
2022-02-01,1859.0279999999998,1796.72,1974.48,1788.39,6.080000000000001
2022-03-01,1951.525652173913,1908.19,2070.29,1890.03,1.7300000000000002
2022-04-01,1936.9942857142855,1937.51,1998.6,1872.19,-2.08
2022-05-01,1848.0818181818183,1896.09,1910.03,1786.95,-3.08
2022-06-01,1836.765,1837.37,1877.38,1802.2,-1.5600000000000007
2022-07-01,1736.4657142857143,1807.31,1814.36,1680.78,-2.2500000000000004
2022-08-01,1763.0695652173913,1765.05,1807.9,1709.1,-3.0899999999999994
2022-09-01,1680.7286363636363,1711.09,1735.37,1614.35,-2.9400000000000004
2022-10-01,1665.6185714285714,1661.3,1729.73,1617.21,-1.5
2022-11-01,1729.2072727272725,1633.4,1786.68,1616.18,8.110000000000001
2022-12-01,1797.4627272727273,1768.54,1833.39,1765.32,3.2199999999999998
2023-01-01,1898.5454545454545,1823.85,1949.27,1823.85,5.57
2023-02-01,1853.6225,1927.92,1959.77,1804.65,-5.28
2023-03-01,1914.893913043478,1827.24,2010.19,1809.4,7.640000000000001
2023-04-01,2000.8905263157894,1970.84,2048.84,1949.82,1.17
2023-05-01,1991.0617391304347,1991.34,2073.29,1932.08,-1.3100000000000005
2023-06-01,1940.9486363636365,1962.8,1983.52,1893.01,-2.13
2023-07-01,1948.9633333333336,1919.4,1987.59,1902.68,2.34
2023-08-01,1917.7791304347825,1965.1,1966.24,1884.5,-1.2200000000000002
2023-09-01,1913.0109523809526,1940.19,1953.44,1846.34,-4.8
2023-10-01,1916.1331818181818,1848.13,2009.48,1810.1,7.13
2023-11-01,1985.1454545454544,1983.01,2052.09,1931.73,2.6800000000000006
2023-12-01,2035.164761904762,2034.49,2135.9,1973.09,1.42
2024-01-01,2032.8191304347824,2064.24,2079.02,2001.91,-1.2
2024-02-01,2025.2766666666666,2037.59,2065.42,1984.3,0.31999999999999984
2024-03-01,2163.3435,2043.44,2235.9,2038.55,8.95
2024-04-01,2333.535,2239.59,2431.53,2228.54,2.5100000000000002
2024-05-01,2350.162608695652,2285.91,2450.13,2277.47,1.91
2024-06-01,2327.196,2329.61,2387.85,2286.77,0.07999999999999978
2024-07-01,2394.499565217391,2326.46,2483.78,2318.55,5.2299999999999995
2024-08-01,2471.187727272727,2448.1,2532.05,2364.4,2.3200000000000003
2024-09-01,2571.0271428571427,2502.74,2685.96,2471.95,5.16
2024-10-01,2691.3752173913044,2635.41,2790.41,2604.15,4.13
2024-11-01,2649.864761904762,2742.5,2762.29,2536.91,-3.12
2024-12-01,2638.44,2653.82,2726.31,2583.49,-1.0600000000000003
2025-01-01,2711.03,2626.6,2817.57,2614.6,6.59
2025-02-01,2895.843,2801.4,2956.37,2771.69,2.11
2025-03-01,2986.939047619048,2856.71,3128.29,2855.63,8.93
2025-04-01,3222.460476190476,3123.36,3500.33,2956.6,5.53
2025-05-01,3289.7586363636365,3288.55,3438.59,3120.52,0.3300000000000004
2025-06-01,3352.7619047619046,3289.8,3451.62,3247.86,0.5499999999999995
2025-07-01,3339.939565217391,3302.87,3439.09,3268.15,-0.3399999999999997
2025-08-01,3367.934761904762,3290.83,3454.08,3281.55,4.719999999999999
2025-09-01,3667.7363636363634,3448.0,3871.87,3436.8,11.35
2025-10-01,4057.85,3858.84,4381.6,3819.51,4.079999999999999
2025-11-01,4087.3735,4002.28,4245.2,3928.66,5.71
2025-12-01,4318.276521739131,4223.93,4550.11,4163.01,2.16
